,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
54,Na4 Cr4 Os4 C24 N24,Na4 Cr4 Os4 C24 N24,0.0743656407382236,Na,Cr,Os,4.0
55,,,,,,,
56,Sr4 V4 Cr4 C24 N24,Sr4 V4 Cr4 C24 N24,0.005491380000000046,Sr,Cr,V,4.0
57,K4 Cr4 Os4 C24 N24,K4 Cr4 Os4 C24 N24,0.028381877516000742,K,Cr,Os,4.0
58,K4 Fe4 Os4 C24 N24,K4 Fe4 Os4 C24 N24,0.09936063451600141,K,Fe,Os,4.0
59,Li4 Co4 Ni4 C24 N24,Li4 Co4 Ni4 C24 N24,0.0028601699999999397,Li,Ni,Co,4.0
60,,,,,,,
61,,,,,,,
62,Na4 In4 Fe4 C24 N24,Na4 In4 Fe4 C24 N24,0.12850119249999992,Na,In,Fe,4.0
63,K4 Mn4 Cr4 C24 N24,K4 Mn4 Cr4 C24 N24,0.11553698000000001,K,Mn,Cr,4.0
64,K4 Co4 Ni4 C24 N24,K4 Co4 Ni4 C24 N24,0.11553698000000001,K,Ni,Co,4.0
65,K4 V4 Co4 C24 N24,K4 V4 Co4 C24 N24,0.11553698000000001,K,Co,V,4.0
66,Na4 Mn4 Fe4 C24 N24,Na4 Mn4 Fe4 C24 N24,0.12850119249999992,Na,Mn,Fe,4.0
67,,,,,,,
68,Na4 Mn4 Os4 C24 N24,Na4 Mn4 Os4 C24 N24,0.12334109057155551,Na,Mn,Os,4.0
69,Ca4 Zn4 Cr4 C24 N24,Ca4 Zn4 Cr4 C24 N24,0.4185173499999999,Ca,Zn,Cr,4.0
70,K4 Cr4 Fe4 C24 N24,K4 Cr4 Fe4 C24 N24,0.09218529117466545,K,Cr,Fe,4.0
71,Li4 Mn4 V4 C24 N24,Li4 Mn4 V4 C24 N24,0.0028601699999999397,Li,V,Mn,4.0
72,Mg4 Zn4 Os4 C24 N24,Mg4 Zn4 Os4 C24 N24,0.03918191000000015,Mg,Zn,Os,4.0
73,Mg4 V4 Fe4 C24 N24,Mg4 V4 Fe4 C24 N24,0.03918191000000015,Mg,V,Fe,4.0
74,Sr4 V4 Fe4 C24 N24,Sr4 V4 Fe4 C24 N24,0.005491380000000046,Sr,V,Fe,4.0
75,Na4 V4 Zn4 C24 N24,Na4 V4 Zn4 C24 N24,0.12850119249999992,Na,Zn,V,4.0
76,,,,,,,
77,Sr4 V4 Co4 C24 N24,Sr4 V4 Co4 C24 N24,0.005491380000000046,Sr,V,Co,4.0
78,Mg4 V4 Cr4 C24 N24,Mg4 V4 Cr4 C24 N24,0.03918191000000015,Mg,Cr,V,4.0
79,,,,,,,
80,Mg4 Fe4 Os4 C24 N24,Mg4 Fe4 Os4 C24 N24,0.03918191000000015,Mg,Fe,Os,4.0
81,Li4 Cr4 Ni4 C24 N24,Li4 Cr4 Ni4 C24 N24,0.0028601699999999397,Li,Ni,Cr,4.0
