,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
69,Ca4 Zn4 Cr4 C24 N24,Ca4 Zn4 Cr4 C24 N24,0.5331443703691114,Ca,Zn,Cr,4.0
70,K4 Cr4 Fe4 C24 N24,K4 Cr4 Fe4 C24 N24,0.09221554845244384,K,Cr,Fe,4.0
71,Li4 Mn4 V4 C24 N24,Li4 Mn4 V4 C24 N24,0.28938558260733593,Li,V,Mn,4.0
72,Mg4 Zn4 Os4 C24 N24,Mg4 Zn4 Os4 C24 N24,0.4867180564882237,Mg,Zn,Os,4.0
73,Mg4 V4 Fe4 C24 N24,Mg4 V4 Fe4 C24 N24,0.3764012306906661,Mg,V,Fe,4.0
74,Sr4 V4 Fe4 C24 N24,Sr4 V4 Fe4 C24 N24,0.2825439945715562,Sr,V,Fe,4.0
75,Na4 V4 Zn4 C24 N24,Na4 V4 Zn4 C24 N24,0.4698987834722237,Na,Zn,V,4.0
76,,,,,,,
77,Sr4 V4 Co4 C24 N24,Sr4 V4 Co4 C24 N24,0.4075575917382235,Sr,V,Co,4.0
78,Mg4 V4 Cr4 C24 N24,Mg4 V4 Cr4 C24 N24,0.5682652244048914,Mg,Cr,V,4.0
79,,,,,,,
80,Mg4 Fe4 Os4 C24 N24,Mg4 Fe4 Os4 C24 N24,0.3836765414128909,Mg,Fe,Os,4.0
81,,,,,,,
82,Sr4 Mn4 Cr4 C24 N24,Sr4 Mn4 Cr4 C24 N24,0.2438182295715592,Sr,Cr,Mn,4.0
83,Mg4 Mn4 Fe4 C24 N24,Mg4 Mn4 Fe4 C24 N24,0.43439062640488935,Mg,Mn,Fe,4.0
84,Li4 Mn8 C24 N24,Li4 Mn8 C24 N24,0.2744810997740021,Li,Mn,Mn,4.0
85,Ca4 Cr4 Co4 C24 N24,Ca4 Cr4 Co4 C24 N24,0.512853549960445,Ca,Co,Cr,4.0
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,Mg4 Mn4 V4 C24 N24,Mg4 Mn4 V4 C24 N24,0.6048260770715572,Mg,Mn,V,4.0
90,Na4 Cr4 Fe4 C24 N24,Na4 Cr4 Fe4 C24 N24,0.13993607039688882,Na,Cr,Fe,4.0
91,K4 Fe4 Co4 C24 N24,K4 Fe4 Co4 C24 N24,0.17434748061911165,K,Co,Fe,4.0
92,,,,,,,
93,Li4 V4 Os4 C24 N24,Li4 V4 Os4 C24 N24,0.17789649644866934,Li,V,Os,4.0
94,K4 Cr4 Fe4 C24 N24,K4 Cr4 Fe4 C24 N24,0.2318674186191121,K,Fe,Cr,4.0
95,,,,,,,
96,Mg4 V4 Co4 C24 N24,Mg4 V4 Co4 C24 N24,0.4723125060715558,Mg,V,Co,4.0
97,Li4 Mn4 Co4 C24 N24,Li4 Mn4 Co4 C24 N24,0.3517873667740039,Li,Co,Mn,4.0
98,,,,,,,
99,K4 Zn4 Fe4 C24 N24,K4 Zn4 Fe4 C24 N24,0.26002363769444514,K,Zn,Fe,4.0
100,,,,,,,
101,K4 V4 Zn4 C24 N24,K4 V4 Zn4 C24 N24,0.4237809698611139,K,Zn,V,4.0
102,Mg4 Zn4 Cr4 C24 N24,Mg4 Zn4 Cr4 C24 N24,0.596209968146888,Mg,Zn,Cr,4.0
103,,,,,,,
104,Li2 Zn4 Co4 C24 N24,Li2 Zn4 Co4 C24 N24,0.3278229947189635,Li,Zn,Co,2.0
105,Mg2 Cr4 Os4 C24 N24,Mg2 Cr4 Os4 C24 N24,0.2041278326480445,Mg,Cr,Os,2.0
106,Sr2 Fe4 Co4 C24 N24,Sr2 Fe4 Co4 C24 N24,0.22810726574321905,Sr,Co,Fe,2.0
107,Mg2 V4 Co4 C24 N24,Mg2 V4 Co4 C24 N24,0.5407168897087349,Mg,Co,V,2.0
108,Na2 Mn8 C24 N24,Na2 Mn8 C24 N24,0.2273471273770138,Na,Mn,Mn,2.0
109,,,,,,,
110,Li2 Mn4 Cr4 C24 N24,Li2 Mn4 Cr4 C24 N24,0.3004014741237899,Li,Mn,Cr,2.0
111,Sr2 Co4 Os4 C24 N24,Sr2 Co4 Os4 C24 N24,0.16265580799287171,Sr,Co,Os,2.0
112,K2 Mn4 V4 C24 N24,K2 Mn4 V4 C24 N24,0.3327418599919554,K,Mn,V,2.0
113,K2 Cr4 Fe4 C24 N24,K2 Cr4 Fe4 C24 N24,0.2648799029229867,K,Fe,Cr,2.0
114,Na2 Mn4 V4 C24 N24,Na2 Mn4 V4 C24 N24,0.3582865541011486,Na,Mn,V,2.0
115,Mg2 Mn4 Co4 C24 N24,Mg2 Mn4 Co4 C24 N24,0.3377482300535615,Mg,Mn,Co,2.0
116,Ca2 Mn4 Os4 C24 N24,Ca2 Mn4 Os4 C24 N24,0.18051470276298787,Ca,Mn,Os,2.0
117,Li2 Zn4 Os4 C24 N24,Li2 Zn4 Os4 C24 N24,0.3181779336927564,Li,Zn,Os,2.0
118,,,,,,,
119,K2 Mn8 C24 N24,K2 Mn8 C24 N24,0.20306153102644053,K,Mn,Mn,2.0
120,Mg2 V8 C24 N24,Mg2 V8 C24 N24,0.5227407314328758,Mg,V,V,2.0
121,,,,,,,
122,K2 Fe4 Os4 C24 N24,K2 Fe4 Os4 C24 N24,0.12761132258643748,K,Fe,Os,2.0
123,Sr2 V4 Cr4 C24 N24,Sr2 V4 Cr4 C24 N24,0.3114396798811505,Sr,V,Cr,2.0
124,Ca2 Mn8 C24 N24,Ca2 Mn8 C24 N24,0.2933130680995397,Ca,Mn,Mn,2.0
125,Li2 Zn4 Cr4 C24 N24,Li2 Zn4 Cr4 C24 N24,0.4274773164431016,Li,Zn,Cr,2.0
126,,,,,,,
127,Ca2 Fe8 C24 N24,Ca2 Fe8 C24 N24,0.2735384043064375,Ca,Fe,Fe,2.0
128,,,,,,,
129,Li2 Cr4 Co4 C24 N24,Li2 Cr4 Co4 C24 N24,0.3480312706755129,Li,Co,Cr,2.0
130,Mg2 Fe4 Co4 C24 N24,Mg2 Fe4 Co4 C24 N24,0.3217451860880445,Mg,Fe,Co,2.0
131,Sr2 V4 Fe4 C24 N24,Sr2 V4 Fe4 C24 N24,0.22106508953632087,Sr,V,Fe,2.0
132,Sr2 Cr4 Co4 C24 N24,Sr2 Cr4 Co4 C24 N24,0.3669062852259781,Sr,Co,Cr,2.0
133,K2 Cr4 Os4 C24 N24,K2 Cr4 Os4 C24 N24,0.05204998448298959,K,Cr,Os,2.0
134,Ca2 Cr8 C24 N24,Ca2 Cr8 C24 N24,0.3319159694788514,Ca,Cr,Cr,2.0
135,Sr2 Mn4 V4 C24 N24,Sr2 Mn4 V4 C24 N24,0.2578140955708026,Sr,V,Mn,2.0
136,,,,,,,
137,Na2 V4 Co4 C24 N24,Na2 V4 Co4 C24 N24,0.2063453880666657,Na,V,Co,2.0
138,Mg2 Cr4 Co4 C24 N24,Mg2 Cr4 Co4 C24 N24,0.28992462815701003,Mg,Cr,Co,2.0
139,,,,,,,
140,Mg2 Cr4 Fe4 C24 N24,Mg2 Cr4 Fe4 C24 N24,0.2777652695363209,Mg,Cr,Fe,2.0
141,Sr2 Fe8 C24 N24,Sr2 Fe8 C24 N24,0.2276769472949418,Sr,Fe,Fe,2.0
142,Mg2 Mn4 Fe4 C24 N24,Mg2 Mn4 Fe4 C24 N24,0.30710363815701136,Mg,Mn,Fe,2.0
143,Sr2 Mn4 Fe4 C24 N24,Sr2 Mn4 Fe4 C24 N24,0.20197146298459856,Sr,Mn,Fe,2.0
144,Li2 V4 Cr4 C24 N24,Li2 V4 Cr4 C24 N24,0.35339581636517003,Li,Cr,V,2.0
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,Mg2 Co4 Os4 C24 N24,Mg2 Co4 Os4 C24 N24,0.2911072779928752,Mg,Co,Os,2.0
